Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,Yes,2026,3610,679,120,1,Rural,Y
Female,Yes,2,Not Graduate,No,4724,4255,68,240,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,16569,14484,72,180,1,Rural,Y
Male,No,0,Graduate,No,13036,11015,462,360,1,Urban,N
Male,Yes,0,Graduate,No,15047,7397,79,360,0,Urban,N
Female,Yes,0,Graduate,Yes,19759,1735,157,360,0,Rural,N
Male,No,3+,Not Graduate,No,3263,9777,416,360,0,Rural,N
Male,Yes,0,Not Graduate,Yes,10212,8258,330,360,0,Urban,N
Male,No,3+,Not Graduate,Yes,7297,11253,177,120,1,Rural,Y
Female,No,3+,Not Graduate,Yes,10708,7979,278,240,1,Urban,Y
Male,Yes,0,Graduate,Yes,24983,2428,160,180,1,Rural,Y
Male,No,0,Graduate,Yes,6609,12345,185,120,1,Rural,Y
Male,Yes,1,Graduate,No,24528,7426,411,240,1,Rural,Y
Male,No,2,Graduate,No,18000,8533,235,360,1,Urban,Y
Female,No,0,Not Graduate,No,3933,5249,633,240,1,Rural,Y
Male,Yes,1,Not Graduate,No,23347,10966,178,240,1,Urban,Y
Female,No,1,Graduate,Yes,18467,5291,310,360,1,Urban,Y
Female,No,2,Graduate,No,21672,2817,564,360,1,Rural,Y
Female,No,3+,Not Graduate,Yes,5667,10853,498,360,1,Rural,Y
Male,No,0,Graduate,No,19273,9424,153,180,1,Urban,Y
Female,No,2,Not Graduate,Yes,9857,3874,532,360,1,Urban,N
Male,Yes,0,Graduate,Yes,7654,10593,273,180,1,Semiurban,Y
Female,No,1,Graduate,No,23304,9686,540,360,0,Urban,N
Female,Yes,1,Graduate,Yes,10420,14109,522,180,1,Semiurban,Y
Female,No,3+,Graduate,Yes,19927,4211,59,240,1,Semiurban,Y
Female,Yes,1,Graduate,No,22081,661,454,120,0,Semiurban,Y
Female,Yes,1,Graduate,Yes,21380,12075,351,240,1,Rural,Y
Female,No,2,Graduate,No,18662,13753,280,240,1,Rural,Y
Female,No,0,Not Graduate,No,1713,11811,115,360,1,Urban,Y
Female,No,0,Not Graduate,No,5262,14788,161,180,1,Semiurban,N
Male,Yes,2,Not Graduate,Yes,14899,10060,62,120,1,Rural,Y
Male,No,3+,Not Graduate,Yes,11268,10526,442,360,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,12140,3374,549,360,0,Rural,N
Female,Yes,1,Graduate,No,8231,9208,647,360,1,Rural,Y
Female,Yes,0,Graduate,Yes,21001,12598,283,240,1,Rural,Y
Male,No,1,Not Graduate,No,7291,207,651,180,1,Semiurban,Y
Female,No,3+,Graduate,No,17322,2665,363,180,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,10283,2493,615,120,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,15121,6813,61,180,1,Semiurban,Y
Male,No,2,Graduate,Yes,17519,632,258,180,0,Urban,N
Male,Yes,0,Graduate,Yes,4220,10294,63,360,1,Semiurban,Y
Male,No,1,Graduate,Yes,10405,11151,682,360,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,10627,3083,467,240,1,Semiurban,Y
Female,No,0,Graduate,Yes,23931,12944,486,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,17885,13711,426,360,1,Rural,N
Female,No,2,Not Graduate,No,7868,10123,69,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,15556,3719,636,360,1,Semiurban,N
Male,No,0,Graduate,Yes,13736,7123,119,240,1,Semiurban,N
Female,No,0,Graduate,Yes,19833,10754,260,360,0,Rural,N
Female,Yes,0,Not Graduate,Yes,24616,1679,150,120,1,Rural,Y
Male,Yes,1,Graduate,No,15951,236,181,120,0,Urban,Y
Female,No,0,Graduate,Yes,18801,7446,672,120,1,Rural,Y
Male,Yes,2,Graduate,No,21058,4443,430,120,1,Rural,Y
Female,No,2,Not Graduate,No,11933,6770,181,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,17025,12917,69,120,1,Rural,Y
